 frequency       vdb(2)          vp(2)          
 3.09029543e+02 -1.65572878e-02 -6.17254773e-02 
 3.16227766e+02 -1.73360533e-02 -6.31594711e-02 
 3.23593657e+02 -1.81513713e-02 -6.46265977e-02 
 3.31131121e+02 -1.90049500e-02 -6.61276096e-02 
 3.38844156e+02 -1.98985768e-02 -6.76632756e-02 
 3.46736850e+02 -2.08341220e-02 -6.92343811e-02 
 3.54813389e+02 -2.18135421e-02 -7.08417279e-02 
 3.63078055e+02 -2.28388841e-02 -7.24861351e-02 
 3.71535229e+02 -2.39122896e-02 -7.41684389e-02 
 3.80189396e+02 -2.50359989e-02 -7.58894933e-02 
 3.89045145e+02 -2.62123554e-02 -7.76501699e-02 
 3.98107171e+02 -2.74438105e-02 -7.94513586e-02 
 4.07380278e+02 -2.87329281e-02 -8.12939676e-02 
 4.16869383e+02 -3.00823900e-02 -8.31789239e-02 
 4.26579519e+02 -3.14950008e-02 -8.51071733e-02 
 4.36515832e+02 -3.29736936e-02 -8.70796806e-02 
 4.46683592e+02 -3.45215355e-02 -8.90974305e-02 
 4.57088190e+02 -3.61417340e-02 -9.11614269e-02 
 4.67735141e+02 -3.78376425e-02 -9.32726938e-02 
 4.78630092e+02 -3.96127672e-02 -9.54322753e-02 
 4.89778819e+02 -4.14707736e-02 -9.76412359e-02 
 5.01187234e+02 -4.34154935e-02 -9.99006605e-02 
 5.12861384e+02 -4.54509324e-02 -1.02211655e-01 
 5.24807460e+02 -4.75812765e-02 -1.04575345e-01 
 5.37031796e+02 -4.98109013e-02 -1.06992879e-01 
 5.49540874e+02 -5.21443788e-02 -1.09465426e-01 
 5.62341325e+02 -5.45864866e-02 -1.11994175e-01 
 5.75439937e+02 -5.71422164e-02 -1.14580337e-01 
 5.88843655e+02 -5.98167831e-02 -1.17225146e-01 
 6.02559586e+02 -6.26156340e-02 -1.19929856e-01 
 6.16595002e+02 -6.55444586e-02 -1.22695743e-01 
 6.30957344e+02 -6.86091990e-02 -1.25524103e-01 
 6.45654229e+02 -7.18160598e-02 -1.28416255e-01 
 6.60693448e+02 -7.51715193e-02 -1.31373539e-01 
 6.76082975e+02 -7.86823402e-02 -1.34397316e-01 
 6.91830971e+02 -8.23555817e-02 -1.37488968e-01 
 7.07945784e+02 -8.61986107e-02 -1.40649897e-01 
 7.24435960e+02 -9.02191146e-02 -1.43881527e-01 
 7.41310241e+02 -9.44251135e-02 -1.47185302e-01 
 7.58577575e+02 -9.88249735e-02 -1.50562683e-01 
 7.76247117e+02 -1.03427420e-01 -1.54015154e-01 
 7.94328235e+02 -1.08241551e-01 -1.57544216e-01 
 8.12830516e+02 -1.13276852e-01 -1.61151387e-01 
 8.31763771e+02 -1.18543210e-01 -1.64838206e-01 
 8.51138038e+02 -1.24050927e-01 -1.68606225e-01 
 8.70963590e+02 -1.29810739e-01 -1.72457015e-01 
 8.91250938e+02 -1.35833826e-01 -1.76392159e-01 
 9.12010839e+02 -1.42131832e-01 -1.80413257e-01 
 9.33254301e+02 -1.48716879e-01 -1.84521921e-01 
 9.54992586e+02 -1.55601585e-01 -1.88719773e-01 
 9.77237221e+02 -1.62799079e-01 -1.93008448e-01 
 1.00000000e+03 -1.70323017e-01 -1.97389587e-01 
 1.02329299e+03 -1.78187602e-01 -2.01864841e-01 
 1.04712855e+03 -1.86407597e-01 -2.06435866e-01 
 1.07151931e+03 -1.94998346e-01 -2.11104320e-01 
 1.09647820e+03 -2.03975788e-01 -2.15871864e-01 
 1.12201845e+03 -2.13356476e-01 -2.20740159e-01 
 1.14815362e+03 -2.23157593e-01 -2.25710863e-01 
 1.17489755e+03 -2.33396971e-01 -2.30785627e-01 
 1.20226443e+03 -2.44093103e-01 -2.35966098e-01 
 1.23026877e+03 -2.55265166e-01 -2.41253909e-01 
 1.25892541e+03 -2.66933029e-01 -2.46650680e-01 
 1.28824955e+03 -2.79117277e-01 -2.52158015e-01 
 1.31825674e+03 -2.91839219e-01 -2.57777496e-01 
 1.34896288e+03 -3.05120905e-01 -2.63510684e-01 
 1.38038426e+03 -3.18985140e-01 -2.69359109e-01 
 1.41253754e+03 -3.33455493e-01 -2.75324273e-01 
 1.44543977e+03 -3.48556315e-01 -2.81407638e-01 
 1.47910839e+03 -3.64312740e-01 -2.87610628e-01 
 1.51356125e+03 -3.80750702e-01 -2.93934623e-01 
 1.54881662e+03 -3.97896935e-01 -3.00380951e-01 
 1.58489319e+03 -4.15778984e-01 -3.06950887e-01 
 1.62181010e+03 -4.34425205e-01 -3.13645644e-01 
 1.65958691e+03 -4.53864770e-01 -3.20466371e-01 
 1.69824365e+03 -4.74127659e-01 -3.27414145e-01 
 1.73780083e+03 -4.95244665e-01 -3.34489965e-01 
 1.77827941e+03 -5.17247382e-01 -3.41694749e-01 
 1.81970086e+03 -5.40168199e-01 -3.49029323e-01 
 1.86208714e+03 -5.64040288e-01 -3.56494419e-01 
 1.90546072e+03 -5.88897585e-01 -3.64090666e-01 
 1.94984460e+03 -6.14774775e-01 -3.71818584e-01 
 1.99526231e+03 -6.41707270e-01 -3.79678577e-01 
 2.04173794e+03 -6.69731179e-01 -3.87670927e-01 
 2.08929613e+03 -6.98883279e-01 -3.95795786e-01 
 2.13796209e+03 -7.29200982e-01 -4.04053170e-01 
 2.18776162e+03 -7.60722293e-01 -4.12442953e-01 
 2.23872114e+03 -7.93485767e-01 -4.20964857e-01 
 2.29086765e+03 -8.27530463e-01 -4.29618449e-01 
 2.34422882e+03 -8.62895887e-01 -4.38403131e-01 
 2.39883292e+03 -8.99621935e-01 -4.47318138e-01 
 2.45470892e+03 -9.37748832e-01 -4.56362525e-01 
 2.51188643e+03 -9.77317058e-01 -4.65535170e-01 
 2.57039578e+03 -1.01836728e+00 -4.74834761e-01 
 2.63026799e+03 -1.06094029e+00 -4.84259793e-01 
 2.69153480e+03 -1.10507686e+00 -4.93808565e-01 
 2.75422870e+03 -1.15081776e+00 -5.03479174e-01 
 2.81838293e+03 -1.19820355e+00 -5.13269512e-01 
 2.88403150e+03 -1.24727458e+00 -5.23177261e-01 
 2.95120923e+03 -1.29807083e+00 -5.33199893e-01 
 3.01995172e+03 -1.35063183e+00 -5.43334667e-01 
 3.09029543e+03 -1.40499654e+00 -5.53578630e-01 
 3.16227766e+03 -1.46120328e+00 -5.63928610e-01 
 3.23593657e+03 -1.51928955e+00 -5.74381228e-01 
 3.31131121e+03 -1.57929198e+00 -5.84932888e-01 
 3.38844156e+03 -1.64124619e+00 -5.95579785e-01 
 3.46736850e+03 -1.70518666e+00 -6.06317911e-01 
 3.54813389e+03 -1.77114664e+00 -6.17143053e-01 
 3.63078055e+03 -1.83915804e+00 -6.28050803e-01 
 3.71535229e+03 -1.90925130e+00 -6.39036562e-01 
 3.80189396e+03 -1.98145526e+00 -6.50095548e-01 
 3.89045145e+03 -2.05579713e+00 -6.61222805e-01 
 3.98107171e+03 -2.13230230e+00 -6.72413212e-01 
 4.07380278e+03 -2.21099431e+00 -6.83661492e-01 
 4.16869383e+03 -2.29189470e+00 -6.94962225e-01 
 4.26579519e+03 -2.37502300e+00 -7.06309856e-01 
 4.36515832e+03 -2.46039656e+00 -7.17698715e-01 
 4.46683592e+03 -2.54803057e+00 -7.29123022e-01 
 4.57088190e+03 -2.63793792e+00 -7.40576908e-01 
 4.67735141e+03 -2.73012921e+00 -7.52054426e-01 
 4.78630092e+03 -2.82461265e+00 -7.63549566e-01 
 4.89778819e+03 -2.92139409e+00 -7.75056272e-01 
 5.01187234e+03 -3.02047692e+00 -7.86568459e-01 
 5.12861384e+03 -3.12186212e+00 -7.98080026e-01 
 5.24807460e+03 -3.22554823e+00 -8.09584873e-01 
 5.37031796e+03 -3.33153133e+00 -8.21076919e-01 
 5.49540874e+03 -3.43980512e+00 -8.32550118e-01 
 5.62341325e+03 -3.55036087e+00 -8.43998470e-01 
 5.75439937e+03 -3.66318754e+00 -8.55416043e-01 
 5.88843655e+03 -3.77827174e+00 -8.66796985e-01 
 6.02559586e+03 -3.89559786e+00 -8.78135537e-01 
 6.16595002e+03 -4.01514808e+00 -8.89426051e-01 
 6.30957344e+03 -4.13690247e+00 -9.00663000e-01 
 6.45654229e+03 -4.26083907e+00 -9.11840991e-01 
 6.60693448e+03 -4.38693395e+00 -9.22954778e-01 
 6.76082975e+03 -4.51516136e+00 -9.33999273e-01 
 6.91830971e+03 -4.64549374e+00 -9.44969554e-01 
 7.07945784e+03 -4.77790191e+00 -9.55860876e-01 
 7.24435960e+03 -4.91235512e+00 -9.66668678e-01 
 7.41310241e+03 -5.04882120e+00 -9.77388592e-01 
 7.58577575e+03 -5.18726662e+00 -9.88016446e-01 
 7.76247117e+03 -5.32765667e+00 -9.98548271e-01 
 7.94328235e+03 -5.46995550e+00 -1.00898031e+00 
 8.12830516e+03 -5.61412632e+00 -1.01930900e+00 
 8.31763771e+03 -5.76013143e+00 -1.02953101e+00 
 8.51138038e+03 -5.90793238e+00 -1.03964322e+00 
 8.70963590e+03 -6.05749009e+00 -1.04964271e+00 
 8.91250938e+03 -6.20876492e+00 -1.05952679e+00 
 9.12010839e+03 -6.36171681e+00 -1.06929297e+00 
 9.33254301e+03 -6.51630537e+00 -1.07893897e+00 
 9.54992586e+03 -6.67248997e+00 -1.08846274e+00 
 9.77237221e+03 -6.83022986e+00 -1.09786240e+00 
 1.00000000e+04 -6.98948423e+00 -1.10713629e+00 
 1.02329299e+04 -7.15021231e+00 -1.11628296e+00 
 1.04712855e+04 -7.31237348e+00 -1.12530113e+00 
 1.07151931e+04 -7.47592730e+00 -1.13418972e+00 
 1.09647820e+04 -7.64083360e+00 -1.14294780e+00 
 1.12201845e+04 -7.80705256e+00 -1.15157467e+00 
 1.14815362e+04 -7.97454477e+00 -1.16006974e+00 
 1.17489755e+04 -8.14327126e+00 -1.16843262e+00 
 1.20226443e+04 -8.31319358e+00 -1.17666307e+00 
 1.23026877e+04 -8.48427386e+00 -1.18476098e+00 
 1.25892541e+04 -8.65647479e+00 -1.19272641e+00 
 1.28824955e+04 -8.82975974e+00 -1.20055952e+00 
 1.31825674e+04 -9.00409274e+00 -1.20826064e+00 
 1.34896288e+04 -9.17943852e+00 -1.21583017e+00 
 1.38038426e+04 -9.35576255e+00 -1.22326868e+00 
 1.41253754e+04 -9.53303105e+00 -1.23057681e+00 
 1.44543977e+04 -9.71121100e+00 -1.23775530e+00 
 1.47910839e+04 -9.89027017e+00 -1.24480501e+00 
 1.51356125e+04 -1.00701771e+01 -1.25172687e+00 
 1.54881662e+04 -1.02509013e+01 -1.25852190e+00 
 1.58489319e+04 -1.04324127e+01 -1.26519119e+00 
 1.62181010e+04 -1.06146825e+01 -1.27173589e+00 
 1.65958691e+04 -1.07976825e+01 -1.27815725e+00 
 1.69824365e+04 -1.09813852e+01 -1.28445653e+00 
 1.73780083e+04 -1.11657642e+01 -1.29063509e+00 
 1.77827941e+04 -1.13507935e+01 -1.29669431e+00 
 1.81970086e+04 -1.15364484e+01 -1.30263562e+00 
 1.86208714e+04 -1.17227044e+01 -1.30846049e+00 
 1.90546072e+04 -1.19095384e+01 -1.31417044e+00 
 1.94984460e+04 -1.20969275e+01 -1.31976699e+00 
 1.99526231e+04 -1.22848499e+01 -1.32525172e+00 
 2.04173794e+04 -1.24732845e+01 -1.33062621e+00 
 2.08929613e+04 -1.26622108e+01 -1.33589207e+00 
 2.13796209e+04 -1.28516091e+01 -1.34105091e+00 
 2.18776162e+04 -1.30414602e+01 -1.34610439e+00 
 2.23872114e+04 -1.32317460e+01 -1.35105414e+00 
 2.29086765e+04 -1.34224487e+01 -1.35590182e+00 
 2.34422882e+04 -1.36135512e+01 -1.36064908e+00 
 2.39883292e+04 -1.38050371e+01 -1.36529759e+00 
 2.45470892e+04 -1.39968906e+01 -1.36984901e+00 
 2.51188643e+04 -1.41890964e+01 -1.37430500e+00 
 2.57039578e+04 -1.43816400e+01 -1.37866721e+00 
 2.63026799e+04 -1.45745072e+01 -1.38293728e+00 
 2.69153480e+04 -1.47676844e+01 -1.38711687e+00 
 2.75422870e+04 -1.49611587e+01 -1.39120760e+00 
 2.81838293e+04 -1.51549176e+01 -1.39521110e+00 
 2.88403150e+04 -1.53489489e+01 -1.39912896e+00 
 2.95120923e+04 -1.55432413e+01 -1.40296280e+00 
 3.01995172e+04 -1.57377835e+01 -1.40671418e+00 
